n_fft,hop,seed,seg_acc,hard_acc,soft_acc,logsum_acc,maxconf_acc,median_acc,hard_f1,soft_f1,n_ties
2048,128,123,0.7873333333333333,0.8533333333333334,0.86,0.88,0.8466666666666667,0.8533333333333334,0.8491552990329408,0.8577269141993836,4
2048,128,456,0.8006666666666666,0.8533333333333334,0.8666666666666667,0.8866666666666667,0.84,0.8666666666666667,0.8507983638225574,0.8645566904922888,2
2048,128,789,0.812,0.8866666666666667,0.88,0.8933333333333333,0.8533333333333334,0.88,0.8851164479960365,0.8787957699512206,5
2048,128,1024,0.7946666666666666,0.8466666666666667,0.8533333333333334,0.86,0.84,0.84,0.84052294158327,0.8513636600046336,2
2048,256,42,0.7946666666666666,0.86,0.8733333333333333,0.8733333333333333,0.84,0.8733333333333333,0.8579783434955848,0.870521407062842,0
2048,256,123,0.7973333333333333,0.84,0.8733333333333333,0.8733333333333333,0.84,0.86,0.8376829214568042,0.871344643249374,5
2048,256,456,0.81,0.8733333333333333,0.8733333333333333,0.88,0.84,0.8733333333333333,0.8701701792122684,0.8703401276143211,2
2048,256,789,0.7886666666666666,0.84,0.8666666666666667,0.8733333333333333,0.84,0.8466666666666667,0.8340192112844733,0.8626074285682183,2
2048,256,1024,0.8046666666666666,0.8533333333333334,0.8733333333333333,0.86,0.8466666666666667,0.8466666666666667,0.8514417495959078,0.8701668928031554,6
2048,512,42,0.7873333333333333,0.8333333333333334,0.84,0.86,0.82,0.84,0.8301550738327712,0.8372815106143806,1
2048,512,123,0.804,0.8733333333333333,0.8866666666666667,0.8866666666666667,0.8333333333333334,0.8733333333333333,0.8709683738994084,0.8850185016133292,4
2048,512,456,0.8,0.86,0.86,0.8733333333333333,0.8266666666666667,0.8533333333333334,0.8546069035982665,0.8558158290813855,2
2048,512,789,0.7713333333333333,0.8266666666666667,0.8266666666666667,0.8466666666666667,0.8066666666666666,0.82,0.8197471372713308,0.8221196254942083,5
2048,512,1024,0.7946666666666666,0.82,0.8333333333333334,0.8533333333333334,0.8133333333333334,0.82,0.8181231912322012,0.8309474933668483,5
